GeneID,Gene name,log2(FC),P-adj
FBgn0025111,Ant2,2.680383503,2.23E-157
FBgn0035189,CG9119,2.359905371,1.59E-35
FBgn0000071,Ama,2.336999402,3.50E-56
FBgn0261673,nemy,2.246910137,1.66E-23
FBgn0037290,CG1124,2.122285592,2.30E-21
FBgn0264437,lncRNA:CR43855,2.091100237,5.73E-24
FBgn0011260,Sema2a,1.936504528,2.85E-32
FBgn0051092,LpR2,1.888524569,1.53E-26
FBgn0032405,firl,1.874240796,9.46E-19
FBgn0262733,Src64B,1.826133151,6.92E-30
FBgn0260011,NimC4,1.815723387,1.62E-18
FBgn0050463,Pgant9,1.583098282,1.42E-10
FBgn0001226,Hsp27,1.557646859,1.07E-33
FBgn0051642,CG31642,1.556539511,1.69E-14
FBgn0033065,Cyp6w1,1.555310413,1.54E-09
FBgn0261284,bou,1.550164518,8.88E-11
FBgn0265276,l(3)neo38,1.53518831,7.76E-16
FBgn0038198,Npc2b,1.523846139,2.29E-10
FBgn0037153,olf413,1.435667742,6.45E-14
FBgn0034438,CG9416,1.40492231,1.94E-10
FBgn0033775,Cyp9h1,1.385518065,1.21E-08
FBgn0283437,PPO1,1.368126274,2.45E-22
FBgn0001224,Hsp23,1.342167087,3.27E-23
FBgn0034885,Eglp4,1.338939413,2.77E-13
FBgn0030598,CG9503,1.337877854,1.46E-07
FBgn0039479,CG14257,1.294823055,3.13E-14
FBgn0052625,CG32625,1.289521344,9.97E-11
FBgn0013680,mt:ND2,1.274223657,1.00E-06
FBgn0020248,stet,1.265665522,7.55E-07
FBgn0033367,PPO2,1.253796944,9.44E-17
FBgn0013688,mt:srRNA,1.24428187,1.93E-06
FBgn0003447,sn,1.217542235,2.91E-06
FBgn0001225,Hsp26,1.209925913,7.26E-18
FBgn0035727,CG10063,1.208626781,1.13E-07
FBgn0038528,CG14326,1.19951652,1.07E-10
FBgn0039593,Sid,1.187076029,4.17E-06
FBgn0031150,bves,1.183893744,6.45E-27
FBgn0024984,CG3457,1.168486782,2.22E-09
FBgn0263232,Nxf3,1.162701979,4.83E-14
FBgn0033724,CG8501,1.147906164,2.34E-08
FBgn0034718,wdp,1.142409522,9.08E-10
FBgn0034391,CG15080,1.116020468,2.61E-06
FBgn0031327,CG5397,1.105425698,9.59E-15
FBgn0033635,Prip,1.077459075,8.01E-15
FBgn0000116,Argk,1.069635585,9.49E-13
FBgn0039485,CG17189,1.053072345,1.13E-05
FBgn0267635,lncRNA:CR45973,1.045384767,1.09E-08
FBgn0003748,Treh,1.037471604,2.68E-23
FBgn0037678,CG16749,1.013985044,0.000271962
FBgn0038149,GILT1,1.005943325,2.16E-19
